gtin,category
5.01107E+12,fish
5.01107E+12,fish
5.00023E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
96139905,fish
96139912,fish
96139899,fish
5.00023E+12,fish
5.00023E+12,fish
5.00017E+12,fish
5.00023E+12,fish
5.00023E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.05353E+12,fish
5.03102E+12,fish
5.00023E+12,fish
5.00023E+12,fish
96069837,fish
5.00023E+12,fish
3016756,fish
5.00023E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
96068878,fish
5.00023E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.052E+12,fish
5.00023E+12,fish
5.052E+12,fish
5.00023E+12,fish
5.01079E+12,fish
5.01079E+12,fish
5.01079E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00023E+12,fish
5.00023E+12,fish
5.00023E+12,fish
5.00023E+12,fish
5.00023E+12,fish
5.00023E+12,fish
5.05478E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.05232E+12,fish
96069936,fish
5.00023E+12,fish
5.0514E+12,fish
3054772,fish
5.01079E+12,fish
5.01079E+12,fish
5.01079E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
96075104,fish
96075111,fish
96075128,fish
5.00017E+12,fish
5.00017E+12,fish
5.01023E+12,fish
5.05291E+12,fish
5.01023E+12,fish
3016930,fish
50232482,fish
5.00023E+12,fish
5.00023E+12,fish
5.01107E+12,fish
5.01107E+12,fish
5.01837E+12,fish
5.05211E+12,fish
5.05427E+12,fish
5.05427E+12,fish
5.09908E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
5.39152E+12,fish
96139790,fish
4.01834E+12,fish
5.39152E+12,fish
5.09908E+12,fish
5.09908E+12,fish
5.09908E+12,fish
50171262,fish
5.00017E+12,fish
5.01183E+12,fish
5.01183E+12,fish
5.00023E+12,fish
5.00023E+12,fish
5.00023E+12,fish
96074442,fish
96074435,fish
5.00023E+12,fish
5.00017E+12,fish
50996551,fish
5.39152E+12,fish
50171057,fish
5.00017E+12,fish
5.00017E+12,fish
5.01837E+12,fish
3016916,fish
3249338,fish
5.05211E+12,fish
50119004,fish
50119011,fish
50171699,fish
5.00017E+12,fish
5.00017E+12,fish
5.00017E+12,fish
